1-Wire/iButton Part Number: DS1921Z-F5,,
1-Wire/iButton Registration Number: AE3B200001A1D921,,
Is Mission Active?  true,,
Mission Start:  Mon Jun 01 07:55:00 EDT 2015,,
Sample Rate:  Every 120 minute(s),,
Number of Mission Samples:  10790,,
Total Samples:  33479,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has occurred,,
Active Alarms:  High Temp,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  26.375 °C,,
Low Temperature Alarm:  -5.5 °C,,
,,
Date/Time,Unit,Value
6/13/2015 21:55,C,13.25
6/13/2015 23:55,C,13.125
6/14/2015 1:55,C,13
6/14/2015 3:55,C,12.875
6/14/2015 5:55,C,12.75
6/14/2015 7:55,C,12.75
6/14/2015 9:55,C,12.75
6/14/2015 11:55,C,12.75
6/14/2015 13:55,C,12.875
6/14/2015 15:55,C,13
6/14/2015 17:55,C,13.125
6/14/2015 19:55,C,13.5
6/14/2015 21:55,C,13.5
6/14/2015 23:55,C,13.5
6/15/2015 1:55,C,13.25
6/15/2015 3:55,C,13.125
6/15/2015 5:55,C,13
6/15/2015 7:55,C,12.875
6/15/2015 9:55,C,12.875
6/15/2015 11:55,C,12.875
6/15/2015 13:55,C,13
6/15/2015 15:55,C,13.625
6/15/2015 17:55,C,14
6/15/2015 19:55,C,14.125
6/15/2015 21:55,C,14.125
6/15/2015 23:55,C,13.875
6/16/2015 1:55,C,13.5
6/16/2015 3:55,C,13.125
6/16/2015 5:55,C,12.75
6/16/2015 7:55,C,12.375
6/16/2015 9:55,C,12.375
6/16/2015 11:55,C,12.5
6/16/2015 13:55,C,12.875
6/16/2015 15:55,C,13.625
6/16/2015 17:55,C,13.625
6/16/2015 19:55,C,13.625
6/16/2015 21:55,C,13.375
6/16/2015 23:55,C,13.125
6/17/2015 1:55,C,12.875
6/17/2015 3:55,C,12.625
6/17/2015 5:55,C,12.375
6/17/2015 7:55,C,12.25
6/17/2015 9:55,C,12.125
6/17/2015 11:55,C,12.125
6/17/2015 13:55,C,12.25
6/17/2015 15:55,C,12.25
6/17/2015 17:55,C,12.375
6/17/2015 19:55,C,12.375
6/17/2015 21:55,C,12.5
6/17/2015 23:55,C,12.375
6/18/2015 1:55,C,12.625
6/18/2015 3:55,C,12.75
6/18/2015 5:55,C,12.75
6/18/2015 7:55,C,12.75
6/18/2015 9:55,C,12.625
6/18/2015 11:55,C,12.75
6/18/2015 13:55,C,12.875
6/18/2015 15:55,C,13.25
6/18/2015 17:55,C,13.5
6/18/2015 19:55,C,13.5
6/18/2015 21:55,C,13.25
6/18/2015 23:55,C,12.75
6/19/2015 1:55,C,12.375
6/19/2015 3:55,C,12
6/19/2015 5:55,C,11.75
6/19/2015 7:55,C,11.5
6/19/2015 9:55,C,11.375
6/19/2015 11:55,C,11.625
6/19/2015 13:55,C,12
6/19/2015 15:55,C,12.875
6/19/2015 17:55,C,13.125
6/19/2015 19:55,C,13.375
6/19/2015 21:55,C,13.375
6/19/2015 23:55,C,13.25
6/20/2015 1:55,C,13.125
6/20/2015 3:55,C,13
6/20/2015 5:55,C,12.875
6/20/2015 7:55,C,12.75
6/20/2015 9:55,C,12.625
6/20/2015 11:55,C,12.625
6/20/2015 13:55,C,12.75
6/20/2015 15:55,C,13
6/20/2015 17:55,C,13.25
6/20/2015 19:55,C,13.375
6/20/2015 21:55,C,13.5
6/20/2015 23:55,C,13.375
6/21/2015 1:55,C,13.375
6/21/2015 3:55,C,13.25
6/21/2015 5:55,C,13.125
6/21/2015 7:55,C,13
6/21/2015 9:55,C,12.875
6/21/2015 11:55,C,12.875
6/21/2015 13:55,C,13
6/21/2015 15:55,C,13.625
6/21/2015 17:55,C,14
6/21/2015 19:55,C,14.25
6/21/2015 21:55,C,14.25
6/21/2015 23:55,C,14.125
6/22/2015 1:55,C,13.875
6/22/2015 3:55,C,13.75
6/22/2015 5:55,C,13.5
6/22/2015 7:55,C,13.375
6/22/2015 9:55,C,13.375
6/22/2015 11:55,C,13.375
6/22/2015 13:55,C,13.5
6/22/2015 15:55,C,13.625
6/22/2015 17:55,C,13.875
6/22/2015 19:55,C,14
6/22/2015 21:55,C,14.25
6/22/2015 23:55,C,14
6/23/2015 1:55,C,13.75
6/23/2015 3:55,C,13.5
6/23/2015 5:55,C,13.375
6/23/2015 7:55,C,13.125
6/23/2015 9:55,C,13.125
6/23/2015 11:55,C,13.125
6/23/2015 13:55,C,13.375
6/23/2015 15:55,C,14.25
6/23/2015 17:55,C,14.5
6/23/2015 19:55,C,14.625
6/23/2015 21:55,C,14.375
6/23/2015 23:55,C,14.125
6/24/2015 1:55,C,14
6/24/2015 3:55,C,13.75
6/24/2015 5:55,C,13.625
6/24/2015 7:55,C,13.375
6/24/2015 9:55,C,13.375
6/24/2015 11:55,C,13.375
6/24/2015 13:55,C,13.875
6/24/2015 15:55,C,14.375
6/24/2015 17:55,C,14.5
6/24/2015 19:55,C,14.625
6/24/2015 21:55,C,14.5
6/24/2015 23:55,C,14.25
6/25/2015 1:55,C,14.125
6/25/2015 3:55,C,14
6/25/2015 5:55,C,13.75
6/25/2015 7:55,C,13.625
6/25/2015 9:55,C,13.625
6/25/2015 11:55,C,13.5
6/25/2015 13:55,C,13.625
6/25/2015 15:55,C,14
6/25/2015 17:55,C,14.25
6/25/2015 19:55,C,14.375
6/25/2015 21:55,C,14.25
6/25/2015 23:55,C,14
6/26/2015 1:55,C,13.75
6/26/2015 3:55,C,13.625
6/26/2015 5:55,C,13.375
6/26/2015 7:55,C,13.25
6/26/2015 9:55,C,13.25
6/26/2015 11:55,C,13.375
6/26/2015 13:55,C,13.75
6/26/2015 15:55,C,14.375
6/26/2015 17:55,C,14.625
6/26/2015 19:55,C,14.625
6/26/2015 21:55,C,14.5
6/26/2015 23:55,C,14.25
6/27/2015 1:55,C,14.125
6/27/2015 3:55,C,13.875
6/27/2015 5:55,C,13.75
6/27/2015 7:55,C,13.625
6/27/2015 9:55,C,13.625
6/27/2015 11:55,C,13.75
6/27/2015 13:55,C,14.375
6/27/2015 15:55,C,15.125
6/27/2015 17:55,C,15.375
6/27/2015 19:55,C,15.375
6/27/2015 21:55,C,15.25
6/27/2015 23:55,C,15
6/28/2015 1:55,C,14.75
6/28/2015 3:55,C,14.625
6/28/2015 5:55,C,14.375
6/28/2015 7:55,C,14.25
6/28/2015 9:55,C,14.25
6/28/2015 11:55,C,14.375
6/28/2015 13:55,C,14.5
6/28/2015 15:55,C,14.75
6/28/2015 17:55,C,16.375
6/28/2015 19:55,C,15.375
6/28/2015 21:55,C,15
6/28/2015 23:55,C,14.75
6/29/2015 1:55,C,14.5
6/29/2015 3:55,C,14.375
6/29/2015 5:55,C,14.25
6/29/2015 7:55,C,14.125
6/29/2015 9:55,C,14.125
6/29/2015 11:55,C,14.25
6/29/2015 13:55,C,14.5
6/29/2015 15:55,C,16
6/29/2015 17:55,C,16
6/29/2015 19:55,C,16
6/29/2015 21:55,C,15.875
6/29/2015 23:55,C,15.625
6/30/2015 1:55,C,15.375
6/30/2015 3:55,C,15
6/30/2015 5:55,C,14.5
6/30/2015 7:55,C,14.125
6/30/2015 9:55,C,13.875
6/30/2015 11:55,C,13.75
6/30/2015 13:55,C,13.875
6/30/2015 15:55,C,14
6/30/2015 17:55,C,14.125
6/30/2015 19:55,C,14
6/30/2015 21:55,C,13.625
6/30/2015 23:55,C,13.125
7/1/2015 1:55,C,12.75
7/1/2015 3:55,C,12.375
7/1/2015 5:55,C,12.125
7/1/2015 7:55,C,12
7/1/2015 9:55,C,12.125
7/1/2015 11:55,C,12.375
7/1/2015 13:55,C,12.75
7/1/2015 15:55,C,13.25
7/1/2015 17:55,C,13.375
7/1/2015 19:55,C,13.5
7/1/2015 21:55,C,13.375
7/1/2015 23:55,C,13.125
7/2/2015 1:55,C,12.875
7/2/2015 3:55,C,12.75
7/2/2015 5:55,C,12.625
7/2/2015 7:55,C,12.5
7/2/2015 9:55,C,12.5
7/2/2015 11:55,C,12.5
7/2/2015 13:55,C,12.625
7/2/2015 15:55,C,13.125
7/2/2015 17:55,C,13.5
7/2/2015 19:55,C,13.75
7/2/2015 21:55,C,13.875
7/2/2015 23:55,C,13.75
7/3/2015 1:55,C,13.625
7/3/2015 3:55,C,13.5
7/3/2015 5:55,C,13.375
7/3/2015 7:55,C,13.25
7/3/2015 9:55,C,13.25
7/3/2015 11:55,C,13.25
7/3/2015 13:55,C,13.375
7/3/2015 15:55,C,13.75
7/3/2015 17:55,C,14
7/3/2015 19:55,C,14.25
7/3/2015 21:55,C,14.375
7/3/2015 23:55,C,14.25
7/4/2015 1:55,C,14.125
7/4/2015 3:55,C,14
7/4/2015 5:55,C,13.875
7/4/2015 7:55,C,13.75
7/4/2015 9:55,C,13.75
7/4/2015 11:55,C,13.75
7/4/2015 13:55,C,14.125
7/4/2015 15:55,C,14.625
7/4/2015 17:55,C,15
7/4/2015 19:55,C,15.125
7/4/2015 21:55,C,15.125
7/4/2015 23:55,C,14.875
7/5/2015 1:55,C,14.75
7/5/2015 3:55,C,14.5
7/5/2015 5:55,C,14.5
7/5/2015 7:55,C,14.375
7/5/2015 9:55,C,14.375
7/5/2015 11:55,C,14.5
7/5/2015 13:55,C,14.75
7/5/2015 15:55,C,15.25
7/5/2015 17:55,C,15.375
7/5/2015 19:55,C,15.5
7/5/2015 21:55,C,15.5
7/5/2015 23:55,C,15.375
7/6/2015 1:55,C,15.375
7/6/2015 3:55,C,16.5
7/6/2015 5:55,C,15.5
7/6/2015 7:55,C,15.375
7/6/2015 9:55,C,15.5
7/6/2015 11:55,C,15.625
7/6/2015 13:55,C,16.125
7/6/2015 15:55,C,16.125
7/6/2015 17:55,C,16
7/6/2015 19:55,C,15.75
7/6/2015 21:55,C,15.5
7/6/2015 23:55,C,15.25
7/7/2015 1:55,C,15
7/7/2015 3:55,C,14.375
7/7/2015 5:55,C,14
7/7/2015 7:55,C,13.75
7/7/2015 9:55,C,13.75
7/7/2015 11:55,C,14
7/7/2015 13:55,C,14.375
7/7/2015 15:55,C,15.125
7/7/2015 17:55,C,15.125
7/7/2015 19:55,C,15.125
7/7/2015 21:55,C,14.875
7/7/2015 23:55,C,14.375
7/8/2015 1:55,C,14
7/8/2015 3:55,C,13.625
7/8/2015 5:55,C,13.5
7/8/2015 7:55,C,13.375
7/8/2015 9:55,C,13.375
7/8/2015 11:55,C,13.5
7/8/2015 13:55,C,13.625
7/8/2015 15:55,C,14.25
7/8/2015 17:55,C,14.625
7/8/2015 19:55,C,14.75
7/8/2015 21:55,C,14.75
7/8/2015 23:55,C,14.625
7/9/2015 1:55,C,14.375
7/9/2015 3:55,C,14.125
7/9/2015 5:55,C,13.875
7/9/2015 7:55,C,13.75
7/9/2015 9:55,C,13.625
7/9/2015 11:55,C,13.75
7/9/2015 13:55,C,13.875
7/9/2015 15:55,C,14.25
7/9/2015 17:55,C,14.5
7/9/2015 19:55,C,14.75
7/9/2015 21:55,C,14.75
7/9/2015 23:55,C,14.625
7/10/2015 1:55,C,14.5
7/10/2015 3:55,C,14.375
7/10/2015 5:55,C,14.25
7/10/2015 7:55,C,14.125
7/10/2015 9:55,C,14.125
7/10/2015 11:55,C,14.125
7/10/2015 13:55,C,14.375
7/10/2015 15:55,C,15
7/10/2015 17:55,C,15.375
7/10/2015 19:55,C,15.5
7/10/2015 21:55,C,15.5
7/10/2015 23:55,C,15.375
7/11/2015 1:55,C,15.25
7/11/2015 3:55,C,15.125
7/11/2015 5:55,C,15.125
7/11/2015 7:55,C,15
7/11/2015 9:55,C,15
7/11/2015 11:55,C,15.125
7/11/2015 13:55,C,15.25
7/11/2015 15:55,C,15.875
7/11/2015 17:55,C,16.125
7/11/2015 19:55,C,16.25
7/11/2015 21:55,C,16.25
7/11/2015 23:55,C,16.125
7/12/2015 1:55,C,16.125
7/12/2015 3:55,C,16
7/12/2015 5:55,C,15.875
7/12/2015 7:55,C,15.875
7/12/2015 9:55,C,15.875
7/12/2015 11:55,C,15.875
7/12/2015 13:55,C,16.25
7/12/2015 15:55,C,16.75
7/12/2015 17:55,C,16.875
7/12/2015 19:55,C,17
7/12/2015 21:55,C,17
7/12/2015 23:55,C,16.875
7/13/2015 1:55,C,16.75
7/13/2015 3:55,C,16.75
7/13/2015 5:55,C,16.75
7/13/2015 7:55,C,16.625
7/13/2015 9:55,C,16.375
7/13/2015 11:55,C,16.375
7/13/2015 13:55,C,16.5
7/13/2015 15:55,C,16.75
7/13/2015 17:55,C,16.875
7/13/2015 19:55,C,17.625
7/13/2015 21:55,C,16.875
7/13/2015 23:55,C,16.625
7/14/2015 1:55,C,16.5
7/14/2015 3:55,C,16.375
7/14/2015 5:55,C,16.25
7/14/2015 7:55,C,16.125
7/14/2015 9:55,C,16
7/14/2015 11:55,C,15.875
7/14/2015 13:55,C,16
7/14/2015 15:55,C,16.375
7/14/2015 17:55,C,16.25
7/14/2015 19:55,C,16.125
7/14/2015 21:55,C,15.875
7/14/2015 23:55,C,15.625
7/15/2015 1:55,C,15.25
7/15/2015 3:55,C,15
7/15/2015 5:55,C,14.875
7/15/2015 7:55,C,14.625
7/15/2015 9:55,C,14.5
7/15/2015 11:55,C,14.5
7/15/2015 13:55,C,14.875
7/15/2015 15:55,C,15.375
7/15/2015 17:55,C,15.5
7/15/2015 19:55,C,15.625
7/15/2015 21:55,C,15.625
7/15/2015 23:55,C,15.375
7/16/2015 1:55,C,15.25
7/16/2015 3:55,C,15.125
7/16/2015 5:55,C,15
7/16/2015 7:55,C,14.875
7/16/2015 9:55,C,14.875
7/16/2015 11:55,C,15.375
7/16/2015 13:55,C,16.5
7/16/2015 15:55,C,17.375
7/16/2015 17:55,C,17.25
7/16/2015 19:55,C,17
7/16/2015 21:55,C,16.75
7/16/2015 23:55,C,16.5
7/17/2015 1:55,C,16.125
7/17/2015 3:55,C,15.875
7/17/2015 5:55,C,15.75
7/17/2015 7:55,C,15.625
7/17/2015 9:55,C,15.625
7/17/2015 11:55,C,15.875
7/17/2015 13:55,C,16.375
7/17/2015 15:55,C,17.125
7/17/2015 17:55,C,17.375
7/17/2015 19:55,C,17.5
7/17/2015 21:55,C,17.125
7/17/2015 23:55,C,16.875
7/18/2015 1:55,C,16.625
7/18/2015 3:55,C,16.375
7/18/2015 5:55,C,16.125
7/18/2015 7:55,C,16.125
7/18/2015 9:55,C,16.125
7/18/2015 11:55,C,16.875
7/18/2015 13:55,C,18.75
7/18/2015 15:55,C,19.375
7/18/2015 17:55,C,19.375
7/18/2015 19:55,C,19
7/18/2015 21:55,C,18.5
7/18/2015 23:55,C,18
7/19/2015 1:55,C,17.375
7/19/2015 3:55,C,16.75
7/19/2015 5:55,C,16.25
7/19/2015 7:55,C,15.875
7/19/2015 9:55,C,15.875
7/19/2015 11:55,C,16.875
7/19/2015 13:55,C,19.125
7/19/2015 15:55,C,19.25
7/19/2015 17:55,C,18.625
7/19/2015 19:55,C,18.25
7/19/2015 21:55,C,17.75
7/19/2015 23:55,C,17.25
7/20/2015 1:55,C,16.75
7/20/2015 3:55,C,16.5
7/20/2015 5:55,C,16.25
7/20/2015 7:55,C,16
7/20/2015 9:55,C,16.25
7/20/2015 11:55,C,17.5
7/20/2015 13:55,C,18.75
7/20/2015 15:55,C,18.5
7/20/2015 17:55,C,18.25
7/20/2015 19:55,C,17.5
7/20/2015 21:55,C,16.75
7/20/2015 23:55,C,16
7/21/2015 1:55,C,15.625
7/21/2015 3:55,C,15.25
7/21/2015 5:55,C,14.875
7/21/2015 7:55,C,14.625
7/21/2015 9:55,C,14.75
7/21/2015 11:55,C,15.875
7/21/2015 13:55,C,18
7/21/2015 15:55,C,17.875
7/21/2015 17:55,C,17.5
7/21/2015 19:55,C,16.875
7/21/2015 21:55,C,16.25
7/21/2015 23:55,C,15.625
7/22/2015 1:55,C,15.25
7/22/2015 3:55,C,14.875
7/22/2015 5:55,C,14.5
7/22/2015 7:55,C,14.25
7/22/2015 9:55,C,14.5
7/22/2015 11:55,C,15.625
7/22/2015 13:55,C,18.75
7/22/2015 15:55,C,18.875
7/22/2015 17:55,C,18.375
7/22/2015 19:55,C,17.75
7/22/2015 21:55,C,17.125
7/22/2015 23:55,C,16.375
7/23/2015 1:55,C,16.125
7/23/2015 3:55,C,15.75
7/23/2015 5:55,C,15.5
7/23/2015 7:55,C,15.375
7/23/2015 9:55,C,15.75
7/23/2015 11:55,C,17.5
7/23/2015 13:55,C,21.5
7/23/2015 15:55,C,20.625
7/23/2015 17:55,C,20.125
7/23/2015 19:55,C,19.625
7/23/2015 21:55,C,18.875
7/23/2015 23:55,C,18.125
7/24/2015 1:55,C,17.625
7/24/2015 3:55,C,17.125
7/24/2015 5:55,C,16.625
7/24/2015 7:55,C,16.5
7/24/2015 9:55,C,16.875
7/24/2015 11:55,C,17.625
7/24/2015 13:55,C,18.125
7/24/2015 15:55,C,19.5
7/24/2015 17:55,C,19.5
7/24/2015 19:55,C,19.125
7/24/2015 21:55,C,19
7/24/2015 23:55,C,18.5
7/25/2015 1:55,C,18.125
7/25/2015 3:55,C,17.75
7/25/2015 5:55,C,17.125
7/25/2015 7:55,C,16.75
7/25/2015 9:55,C,16.875
7/25/2015 11:55,C,18.25
7/25/2015 13:55,C,22.375
7/25/2015 15:55,C,21.5
7/25/2015 17:55,C,20.5
7/25/2015 19:55,C,19.75
7/25/2015 21:55,C,18.875
7/25/2015 23:55,C,18.25
7/26/2015 1:55,C,17.75
7/26/2015 3:55,C,17.375
7/26/2015 5:55,C,17.125
7/26/2015 7:55,C,17
7/26/2015 9:55,C,17.5
7/26/2015 11:55,C,19.25
7/26/2015 13:55,C,23.625
7/26/2015 15:55,C,22.25
7/26/2015 17:55,C,21.625
7/26/2015 19:55,C,20.875
7/26/2015 21:55,C,20.125
7/26/2015 23:55,C,19.375
7/27/2015 1:55,C,18.75
7/27/2015 3:55,C,18.25
7/27/2015 5:55,C,17.75
7/27/2015 7:55,C,17.5
7/27/2015 9:55,C,17.875
7/27/2015 11:55,C,19.625
7/27/2015 13:55,C,24.625
7/27/2015 15:55,C,22.5
7/27/2015 17:55,C,21.875
7/27/2015 19:55,C,21
7/27/2015 21:55,C,20.125
7/27/2015 23:55,C,19.375
7/28/2015 1:55,C,18.75
7/28/2015 3:55,C,18.25
7/28/2015 5:55,C,17.75
7/28/2015 7:55,C,17.5
7/28/2015 9:55,C,18.125
7/28/2015 11:55,C,18.5
7/28/2015 13:55,C,19.375
7/28/2015 15:55,C,19.875
7/28/2015 17:55,C,20.5
7/28/2015 19:55,C,20
7/28/2015 21:55,C,19.5
7/28/2015 23:55,C,19.25
7/29/2015 1:55,C,19
7/29/2015 3:55,C,18.75
7/29/2015 5:55,C,17.875
7/29/2015 7:55,C,17
7/29/2015 9:55,C,17
7/29/2015 11:55,C,18.25
7/29/2015 13:55,C,19.5
7/29/2015 15:55,C,19.375
7/29/2015 17:55,C,18.625
7/29/2015 19:55,C,18.125
7/29/2015 21:55,C,17.625
7/29/2015 23:55,C,17
7/30/2015 1:55,C,16.5
7/30/2015 3:55,C,16
7/30/2015 5:55,C,15.625
7/30/2015 7:55,C,15.375
7/30/2015 9:55,C,16
7/30/2015 11:55,C,17.75
7/30/2015 13:55,C,23.125
7/30/2015 15:55,C,20.75
7/30/2015 17:55,C,19.625
7/30/2015 19:55,C,18.625
7/30/2015 21:55,C,18
7/30/2015 23:55,C,17.125
7/31/2015 1:55,C,16.5
7/31/2015 3:55,C,16
7/31/2015 5:55,C,15.5
7/31/2015 7:55,C,15.125
7/31/2015 9:55,C,15.75
7/31/2015 11:55,C,17.5
7/31/2015 13:55,C,21.25
7/31/2015 15:55,C,19.5
7/31/2015 17:55,C,18.875
7/31/2015 19:55,C,17.75
7/31/2015 21:55,C,16.875
7/31/2015 23:55,C,16
8/1/2015 1:55,C,15.5
8/1/2015 3:55,C,15
8/1/2015 5:55,C,14.5
8/1/2015 7:55,C,14
8/1/2015 9:55,C,14.625
8/1/2015 11:55,C,16.875
8/1/2015 13:55,C,21.25
8/1/2015 15:55,C,19.75
8/1/2015 17:55,C,19.25
8/1/2015 19:55,C,18.25
8/1/2015 21:55,C,17.375
8/1/2015 23:55,C,16.625
8/2/2015 1:55,C,16.125
8/2/2015 3:55,C,15.75
8/2/2015 5:55,C,15.75
8/2/2015 7:55,C,15.625
8/2/2015 9:55,C,16
8/2/2015 11:55,C,17.25
8/2/2015 13:55,C,18.125
8/2/2015 15:55,C,18.875
8/2/2015 17:55,C,18.875
8/2/2015 19:55,C,18.125
8/2/2015 21:55,C,17
8/2/2015 23:55,C,16
8/3/2015 1:55,C,15.125
8/3/2015 3:55,C,14.75
8/3/2015 5:55,C,14.375
8/3/2015 7:55,C,13.875
8/3/2015 9:55,C,14.5
8/3/2015 11:55,C,15.375
8/3/2015 13:55,C,16.375
8/3/2015 15:55,C,16.875
8/3/2015 17:55,C,17
8/3/2015 19:55,C,16.5
8/3/2015 21:55,C,15.625
8/3/2015 23:55,C,14.875
8/4/2015 1:55,C,14.5
8/4/2015 3:55,C,14.375
8/4/2015 5:55,C,14.125
8/4/2015 7:55,C,14.125
8/4/2015 9:55,C,14.375
8/4/2015 11:55,C,15.375
8/4/2015 13:55,C,16.875
8/4/2015 15:55,C,17.75
8/4/2015 17:55,C,17.5
8/4/2015 19:55,C,16.125
8/4/2015 21:55,C,15
8/4/2015 23:55,C,13.875
8/5/2015 1:55,C,13.125
8/5/2015 3:55,C,12.5
8/5/2015 5:55,C,12.125
8/5/2015 7:55,C,11.875
8/5/2015 9:55,C,12.875
8/5/2015 11:55,C,14.25
8/5/2015 13:55,C,17.5
8/5/2015 15:55,C,17.625
8/5/2015 17:55,C,17.375
8/5/2015 19:55,C,16.25
8/5/2015 21:55,C,15.25
8/5/2015 23:55,C,14.375
8/6/2015 1:55,C,14.125
8/6/2015 3:55,C,13.75
8/6/2015 5:55,C,13.25
8/6/2015 7:55,C,13.25
8/6/2015 9:55,C,14.125
8/6/2015 11:55,C,16
8/6/2015 13:55,C,19.875
8/6/2015 15:55,C,19.25
8/6/2015 17:55,C,19.25
8/6/2015 19:55,C,18.375
8/6/2015 21:55,C,17.625
8/6/2015 23:55,C,17
8/7/2015 1:55,C,16.375
